itpd,itpd_description,fcl,fcl_description
1,Wheat,15,Wheat
2,Rice (raw),27,"Rice, paddy"
3,Corn,56,Maize
4,Other cereals,44,Barley
4,Other cereals,71,Rye
4,Other cereals,75,Oats
4,Other cereals,79,Millet
4,Other cereals,83,Sorghum
4,Other cereals,89,Buckwheat
4,Other cereals,92,Quinoa
4,Other cereals,94,Fonio
4,Other cereals,97,Triticale
4,Other cereals,101,Canary seed
4,Other cereals,103,Mixed grain
4,Other cereals,108,"Cereals, nes"
5,Cereal products,17,Bran of Wheat
5,Cereal products,59,Bran of Maize
5,Cereal products,81,Bran of Millet
5,Cereal products,85,Bran of Sorghum
5,Cereal products,91,Bran of Buckwheat
5,Cereal products,96,Bran of Fonio
6,Soybeans,236,Soybeans
7,Other oilseeds (exc. peanuts),242,"Groundnuts, in shell"
7,Other oilseeds (exc. peanuts),243,"Groundnuts, Shelled"
7,Other oilseeds (exc. peanuts),249,Coconuts
7,Other oilseeds (exc. peanuts),250,"Coconuts, Desiccated"
7,Other oilseeds (exc. peanuts),251,Copra
7,Other oilseeds (exc. peanuts),254,Oil palm fruit
7,Other oilseeds (exc. peanuts),256,Palm kernels
7,Other oilseeds (exc. peanuts),263,Karite Nuts (Sheanuts)
7,Other oilseeds (exc. peanuts),265,Castor Beans
7,Other oilseeds (exc. peanuts),267,Sunflower seed
7,Other oilseeds (exc. peanuts),270,Rapeseed or colza seed
7,Other oilseeds (exc. peanuts),275,Tung Nuts
7,Other oilseeds (exc. peanuts),280,Safflower seed
7,Other oilseeds (exc. peanuts),289,Sesame seed
7,Other oilseeds (exc. peanuts),292,Mustard seed
7,Other oilseeds (exc. peanuts),296,Poppy seed
7,Other oilseeds (exc. peanuts),299,Melonseed
7,Other oilseeds (exc. peanuts),310,Kapok fruit
7,Other oilseeds (exc. peanuts),311,Kapokseed in shell
7,Other oilseeds (exc. peanuts),312,"Kapokseed, shelled"
7,Other oilseeds (exc. peanuts),328,Seed Cotton
7,Other oilseeds (exc. peanuts),329,Cottonseed
7,Other oilseeds (exc. peanuts),333,Linseed
7,Other oilseeds (exc. peanuts),336,Hempseed
7,Other oilseeds (exc. peanuts),339,Oilseeds nes
8,Animal feed ingredients & pet foods,169,Beet Pulp
8,Animal feed ingredients & pet foods,628,"Pulp, Waste of Fruit for Feed"
8,Animal feed ingredients & pet foods,630,Cane Tops
8,Animal feed ingredients & pet foods,635,Straw & Husks
8,Animal feed ingredients & pet foods,639,Grasses nes for forage
8,Animal feed ingredients & pet foods,640,Clover for forage
8,Animal feed ingredients & pet foods,643,Legumes for silage
8,Animal feed ingredients & pet foods,646,Turnips for fodder
8,Animal feed ingredients & pet foods,651,Forage Products nes
8,Animal feed ingredients & pet foods,652,Vegetable Products for Feed nes
8,Animal feed ingredients & pet foods,846,Gluten Feed & Meal
8,Animal feed ingredients & pet foods,858,"Hay (Clover, Lucerne, etc.)"
8,Animal feed ingredients & pet foods,859,Hay nes
8,Animal feed ingredients & pet foods,862,Alfalfa Meal & Pellets
9,Raw & refined sugar & sugar crops,156,Sugar cane
9,Raw & refined sugar & sugar crops,157,Sugar beet
10,Other sweeteners,161,Sugar crops nes
10,Other sweeteners,1182,Honey
11,"Pulses & legumes(dried, preserved)",176,"Beans, dry"
11,"Pulses & legumes(dried, preserved)",181,"Broad beans, dry"
11,"Pulses & legumes(dried, preserved)",187,"Peas, dry"
11,"Pulses & legumes(dried, preserved)",191,"Chick-peas, dry"
11,"Pulses & legumes(dried, preserved)",195,"Cow peas, dry"
11,"Pulses & legumes(dried, preserved)",197,Pigeon peas
11,"Pulses & legumes(dried, preserved)",201,"Lentils, dry"
11,"Pulses & legumes(dried, preserved)",203,Bambara beans
11,"Pulses & legumes(dried, preserved)",205,Vetches
11,"Pulses & legumes(dried, preserved)",210,Lupins
11,"Pulses & legumes(dried, preserved)",211,Pulses nes
